drzava,prvenstvo 
USA,CART/PPG Indycar World Series
ITA,European F3 Championship
GBR,F1 World Championship
USA,Michele Alboreto
ITA,World Motorcycle Championship
USA,Winston Cup Grand National
USA,SCCA Can-Am Challenge
FRA,F1 World Championship
USA,Amos Johnson
BEL,World Motorcycle Championship
USA,Winston Cup Grand National
USA,Hurley Haywood
ITA,Guy Edwards
USA,CART/PPG Indycar World Series
USA,CART/PPG Indycar World Series
FRA,European F3 Championship
USA,SCCA Can-Am Challenge
NLD,World Motorcycle Championship
ESP,F1 World Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
CAN,SCCA Can-Am Challenge
FRA,Derek Bell
FRA,European F2 Championship
NLD,European F3 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
MCO,F1 World Championship
USA,IMSA Camel GT Championship
YUG,World Motorcycle Championship
USA,IMSA Camel GT Championship
USA,Non-championship
ITA,European F2 Championship
DEU,Nelson Piquet
FRA,European F3 Championship
USA,Winston Cup Grand National
BEL,F1 World Championship
USA,Winston Cup Grand National
FRA,World Motorcycle Championship
ITA,European F2 Championship
GBR,Walter Rohrl
ITA,World Motorcycle Championship
USA,Winston Cup Grand National
ITA,F1 World Championship
FRA,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,World Motorcycle Championship
DEU,European F2 Championship
ITA,Edgar Doren
USA,Jim Busby
BEL,European F3 Championship
USA,Winston Cup Grand National
USA,Jim Busby
AUT,World Motorcycle Championship
GBR,European F2 Championship
AUT,European F3 Championship
ARG,F1 World Championship
ITA,Giorgio Francia
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,European F2 Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
BRA,F1 World Championship
GBR,European F2 Championship
DEU,European F3 Championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
USA,Al Holbert
USA,Al Holbert
USA,F1 World Championship
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Winston Cup Grand National
ZAF,Non-championship
USA,Bobby Rahal
USA,Bobby Rahal
USA,Winston Cup Grand National
USA,Reinhold Joest
MAC,Non-championship
AUS,Non-championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
MEX,CART/PPG Indycar World Series
USA,SCCA Citicorp Can-Am Challenge
USA,SCCA Citicorp Can-Am Challenge
USA,Winston Cup Grand National
BEL,European F3 Championship
USA,F1 World Championship
GBR,Aurora AFX British F1 Championship
DEU,European F3 Championship
USA,Winston Cup Grand National
CAN,F1 World Championship
DEU,European F2 Championship
USA,Winston Cup Grand National
FRA,Jurgen Barth
GBR,Aurora AFX British F1 Championship
ESP,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,IMSA Camel GT Championship
USA,CART/PPG Indycar World Series
ITA,F1 World Championship
USA,Winston Cup Grand National
ITA,BMW M1 Procar
ITA,Giorgio Francia
GBR,Aurora AFX British F1 Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
ITA,Non-championship
USA,Winston Cup Grand National
NLD,F1 World Championship
USA,CART/PPG Indycar World Series
USA,John Paul
NLD,BMW M1 Procar
GBR,Aurora AFX British F1 Championship
CAN,SCCA Citicorp Can-Am Challenge
DEU,World Motorcycle Championship
USA,Winston Cup Grand National
AUT,F1 World Championship
CAN,John Fitzpatrick
USA,Winston Cup Grand National
CAN,John Fitzpatrick
AUT,BMW M1 Procar
DEU,F1 World Championship
ITA,European F2 Championship
GBR,Aurora AFX British F1 Championship
USA,CART/PPG Indycar World Series
SWE,European F3 Championship
USA,SCCA Citicorp Can-Am Challenge
GBR,World Motorcycle Championship
DEU,BMW M1 Procar
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
ITA,European F2 Championship
GBR,Aurora AFX British F1 Championship
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
FIN,World Motorcycle Championship
NLD,European F2 Championship
USA,CART/PPG Indycar World Series
USA,SCCA Citicorp Can-Am Challenge
GBR,F1 World Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
GBR,BMW M1 Procar
ITA,European F2 Championship
USA,SCCA Citicorp Can-Am Challenge
BEL,World Motorcycle Championship
USA,Hans Heyer
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
FRA,F1 World Championship
ITA,Aurora AFX British F1 Championship
ITA,European F3 Championship
NLD,World Motorcycle Championship
BEL,European F2 Championship
USA,CART/PPG Indycar World Series
CAN,SCCA Citicorp Can-Am Challenge
DEU,BMW M1 Procar
ITA,European F3 Championship
USA,Winston Cup Grand National
FRA,Jean-Pierre Jaussaud
GBR,European F2 Championship
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
ESP,Non-championship
FRA,European F3 Championship
USA,Winston Cup Grand National
USA,CART/PPG Indycar World Series
FRA,European F2 Championship
GBR,Aurora AFX British F1 Championship
NLD,European F3 Championship
USA,John Paul
DEU,Jurgen Barth
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
FRA,World Motorcycle Championship
USA,Winston Cup Grand National
ESP,World Motorcycle Championship
MCO,F1 World Championship
MCO,BMW M1 Procar
ITA,European F2 Championship
GBR,Alain de Cadenet
ITA,World Motorcycle Championship
DEU,BMW M1 Procar
USA,Winston Cup Grand National
GBR,Aurora AFX British F1 Championship
BEL,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
DEU,European F2 Championship
ITA,Alain de Cadenet
FRA,European F3 Championship
USA,Winston Cup Grand National
USA,Dick Barbour
GBR,BMW M1 Procar
GBR,Aurora AFX British F1 Championship
BEL,European F3 Championship
USA,Winston Cup Grand National
DEU,European F2 Championship
ITA,Eddie Cheever
USA,CART/PPG Indycar World Series
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,European F2 Championship
GBR,Aurora AFX British F1 Championship
AUT,European F3 Championship
GBR,Aurora AFX British F1 Championship
USA,F1 World Championship
DEU,European F3 Championship
USA,Winston Cup Grand National
USA,Dick Barbour
GBR,Riccardo Patrese
USA,Winston Cup Grand National
USA,Winston Cup Grand National
ZAF,F1 World Championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,Volkert Merl
USA,Volkert Merl
BRA,F1 World Championship
ARG,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
MAC,Non-championship
USA,Winston Cup Grand National
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
USA,Winston Cup Grand National
USA,SCCA/CART Indycar Championship
USA,SCCA Citicorp Can-Am Challenge
USA,Winston Cup Grand National
USA,F1 World Championship
GBR,Aurora AFX British F1 Championship
DEU,European F3 Championship
USA,Winston Cup Grand National
CAN,F1 World Championship
USA,SCCA/CART Indycar Championship
GBR,Aurora AFX British F1 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
ITA,Non-championship
ITA,Giorgio Francia
USA,Winston Cup Grand National
USA,SCCA/CART Indycar Championship
ITA,F1 World Championship
GBR,Aurora AFX British F1 Championship
ESP,European F3 Championship
USA,Winston Cup Grand National
ITA,BMW M1 Procar
USA,Winston Cup Grand National
USA,SCCA/CART Indycar Championship
USA,Derek Bell
CAN,SCCA Citicorp Can-Am Challenge
FRA,World Motorcycle Championship
GBR,Aurora AFX British F1 Championship
NLD,F1 World Championship
NLD,BMW M1 Procar
USA,Winston Cup Grand National
GBR,European F2 Championship
USA,SCCA/CART Indycar Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
AUT,F1 World Championship
USA,USAC National Championship
SWE,European F3 Championship
AUT,BMW M1 Procar
GBR,World Motorcycle Championship
ITA,European F2 Championship
GBR,Reinhold Joest
USA,SCCA/CART Indycar Championship
SWE,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
USA,Winston Cup Grand National
DEU,F1 World Championship
ITA,European F2 Championship
GBR,Aurora AFX British F1 Championship
USA,USAC National Championship
USA,IMSA Camel GT Championship
FIN,World Motorcycle Championship
DEU,BMW M1 Procar
USA,SCCA Citicorp Can-Am Challenge
SWE,World Motorcycle Championship
NLD,European F2 Championship
USA,SCCA/CART Indycar Championship
USA,SCCA/CART Indycar Championship
USA,Peter Gregg
GBR,F1 World Championship
USA,Winston Cup Grand National
GBR,BMW M1 Procar
USA,SCCA Citicorp Can-Am Challenge
FRA,Aurora AFX British F1 Championship
USA,Bill Whittington
USA,Winston Cup Grand National
USA,Hurley Haywood
FRA,F1 World Championship
BEL,World Motorcycle Championship
GBR,Aurora AFX British F1 Championship
FRA,BMW M1 Procar
ITA,Enrico Grimaldi
ITA,European F3 Championship
GBR,Aurora AFX British F1 Championship
USA,USAC National Championship
NLD,World Motorcycle Championship
ITA,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
YUG,World Motorcycle Championship
DEU,European F2 Championship
USA,USAC National Championship
USA,SCCA/CART Indycar Championship
USA,SCCA/CART Indycar Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
FRA,Bill Whittington
FRA,European F2 Championship
NLD,Aurora AFX British F1 Championship
NLD,European F3 Championship
DEU,Manfred Schurti
USA,Winston Cup Grand National
CAN,SCCA Citicorp Can-Am Challenge
GBR,Aurora AFX British F1 Championship
USA,IMSA Camel GT Championship
MCO,F1 World Championship
USA,USAC National Championship
USA,Winston Cup Grand National
MCO,BMW M1 Procar
ITA,European F2 Championship
GBR,Aurora AFX British F1 Championship
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
ESP,World Motorcycle Championship
BEL,F1 World Championship
ITA,European F2 Championship
USA,IMSA Camel GT Championship
ITA,World Motorcycle Championship
USA,Winston Cup Grand National
BEL,BMW M1 Procar
GBR,Aurora AFX British F1 Championship
GBR,Hans Heyer
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
DEU,World Motorcycle Championship
FRA,European F3 Championship
ESP,F1 World Championship
DEU,European F2 Championship
USA,IMSA Camel GT Championship
AUT,World Motorcycle Championship
FRA,Mario Ketterer
USA,SCCA/CART Indycar Championship
USA,SCCA/CART Indycar Championship
BEL,European F3 Championship
USA,Winston Cup Grand National
USA,Bill Whittington
GBR,European F2 Championship
GBR,Non-championship
GBR,Aurora AFX British F1 Championship
AUT,European F3 Championship
GBR,Aurora AFX British F1 Championship
USA,F1 World Championship
DEU,European F2 Championship
USA,USAC National Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
BEL,Aurora AFX British F1 Championship
USA,Winston Cup Grand National
GBR,European F2 Championship
USA,USAC National Championship
USA,Winston Cup Grand National
ITA,Manfred Schurti
ITA,European F3 Championship
USA,Winston Cup Grand National
VEN,World Motorcycle Championship
USA,Rob McFarlin
USA,SCCA/CART Indycar Championship
USA,Winston Cup Grand National
AUS,Non-championship
USA,Winston Cup Grand National
ZAF,F1 World Championship
USA,Winston Cup Grand National
BRA,F1 World Championship
USA,Hurley Haywood
USA,Hurley Haywood
ARG,F1 World Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
MAC,Non-championship
USA,Winston Cup Grand National
ARG,Non-championship
USA,Winston Cup Grand National
ARG,Non-championship
USA,USAC Citicorp Cup National Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
CAN,F1 World Championship
USA,SCCA Citicorp Can-Am Challenge
ITA,European F3 Championship
USA,Winston Cup Grand National
GBR,USAC Citicorp Cup National Championship
USA,F1 World Championship
GBR,USAC Citicorp Cup National Championship
USA,Winston Cup Grand National
DEU,European F2 Championship
GBR,Aurora AFX British F1 Championship
USA,Winston Cup Grand National
USA,USAC Citicorp Cup National Championship
ESP,European F3 Championship
USA,Winston Cup Grand National
AUT,Non-championship
USA,USAC Citicorp Cup National Championship
ITA,F1 World Championship
GBR,Aurora AFX British F1 Championship
USA,Winston Cup Grand National
AUS,Non-championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
ITA,Henri Pescarolo
USA,USAC Citicorp Cup National Championship
DEU,European F3 Championship
CAN,SCCA Citicorp Can-Am Challenge
GBR,Aurora AFX British F1 Championship
NLD,F1 World Championship
USA,Jim Busby
GBR,European F3 Championship
USA,Winston Cup Grand National
USA,USAC Citicorp Cup National Championship
USA,Winston Cup Grand National
CAN,SCCA Citicorp Can-Am Challenge
AUT,Non-championship
DEU,World Motorcycle Championship
AUT,F1 World Championship
SWE,European F3 Championship
ITA,European F2 Championship
USA,USAC Citicorp Cup National Championship
SWE,European F3 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
GBR,World Motorcycle Championship
DEU,F1 World Championship
GBR,Aurora AFX British F1 Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
FIN,World Motorcycle Championship
ITA,European F2 Championship
USA,USAC Citicorp Cup National Championship
USA,SCCA Citicorp Can-Am Challenge
SWE,World Motorcycle Championship
GBR,F1 World Championship
USA,USAC Citicorp Cup National Championship
FRA,European F3 Championship
USA,Winston Cup Grand National
FRA,European F2 Championship
USA,SCCA Citicorp Can-Am Challenge
USA,Peter Gregg
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
FRA,F1 World Championship
ITA,European F3 Championship
BEL,World Motorcycle Championship
GBR,European F2 Championship
ITA,Henri Pescarolo
ITA,European F3 Championship
USA,USAC Citicorp Cup National Championship
CAN,SCCA Citicorp Can-Am Challenge
GBR,Aurora AFX British F1 Championship
NLD,World Motorcycle Championship
FRA,European F2 Championship
USA,USAC Citicorp Cup National Championship
USA,Winston Cup Grand National
USA,IMSA Camel GT Championship
SWE,F1 World Championship
CAN,USAC Citicorp Cup National Championship
USA,Winston Cup Grand National
USA,SCCA Citicorp Can-Am Challenge
FRA,Jean-Pierre Jaussaud
ESP,F1 World Championship
ITA,European F2 Championship
FRA,European F3 Championship
USA,Winston Cup Grand National
GBR,Aurora AFX British F1 Championship
